# id	kind	polarity	instant	duration	name	flavor	description	effect
1	item	buff	0	0	Читерский кубик	Кубик с карандашной точкой — «это не чит, это фича», как говорят перед баном.	После броска замените значение на одном кубике (1–6). Один раз за ход. Несовместим с кубиком хуюбика.	cheat_dice:1
2	item	debuff	0	0	Кубик хуюбика	Кубик для тех, кто верит, что RNG — это личная обида вселенной.	На следующем броске кубик с большим значением становится 1. Несовместим с читерским кубиком.	huubik_dice:1
3	item	buff	0	0	Очки EZ	Розовые очки из TikTok-распаковки: мир soft, боссы — картон, ты — main character.	Следующие две игры — на лёгкой сложности. Несовместимы с повязкой Рэмбо.	ez_glasses:2
4	item	debuff	0	0	Повязка Рэмбо	Красная повязка и мысль «я не токсик, я просто люблю страдать на максималке».	Следующие две игры — только на максимальной сложности. Несовместима с очками EZ.	rambo_band:2
5	item	buff	0	0	Свиток реролла	Старый пергамент с одной строчкой: «Ctrl+Z для колеса, блять».	Перекрутите колесо выбора игры на текущей клетке.	reroll_game:1
6	item	buff	0	0	Шар всезнания	Шар, в котором шепчут «просто гугни» — но легально и с +rep.	Разрешены гайд, видеопрохождение или спидран для текущей или следующей игры.	guide_orb:1
7	item	debuff	0	0	Взрывчатка	Коробочка «осторожно хрупкое ego». Монетка решает, взлетишь ты или твой бафф.	При использовании любого вашего баффа — монетка: удача или взрыв. Заряд взрывчатки тратится всегда.	explosives:2
8	item	buff	0	0	Корона колесного короля	Корона для тех, кто смотрит на колесо и думает: «я бы выбрал лучше, но мне можно».	После вращения колеса игр выберите выпавшую игру или одну из двух соседних. Не работает на Траллалеро и Лотерее.	wheel_crown:1
9	item	buff	0	0	Ремонтный набор	Изолента, WD-40 и вера человека, который чинит технику ударами.	Добавьте 1 использование любому вашему предмету, кроме Шоколада.	repair_kit:1
10	item	debuff	0	0	Реверсивные сапоги	Сапоги с режимом «я передумал, это был не мой ход, это lag».	Следующий ход: один кубик, движение назад. Другие эффекты кубика не действуют.	reverse_boots:1
11	item	buff	0	0	Парные кольца времени	Два кольца из фанфика про time travel, где оба героя опаздывают, но с +1 к броску.	Свяжитесь с игроком без активных колец. Каждый получает +1 к своим броскам четыре раза; счётчик у каждого свой. Предмет расходуется при связи.	time_rings:4
12	trap	debuff	0	0	Тухлая шаурма	Шаурма, после которой даже RNG чувствует тошноту. Легенда локального фудкорта.	Ловушка: цель два хода отнимает 1 с каждого кубика (минимум 1).	trap_shawarma:2
14	trap	debuff	0	0	Чокер боли	Ловушка для фанатов «no hit run» — теперь без права на «ой, я случайно».	Следующая обычная клетка цели — только максимальная сложность.	trap_choker:1
15	item	buff	0	0	Шоколад	Плитка, которая шепчет: «жанр — это social construct, возьми другой».	При открытии колеса замените выпавшую категорию жанра на любую другую.	chocolate:1
16	item	buff	0	0	Туалетка	Рулон надежды в момент, когда игра, жизнь и кишечник решили синкануться.	При дропе: вернитесь на клетку прошлого хода вместо дурки. Не блокирует дырявый парашют.	toilet_paper:1
17	item	debuff	0	0	Дырявый парашют	Парашют из Wish: открывается только над Стартом и с минусом в карму.	При дропе: телепорт на Старт, −2 очка, следующая игра без награды. Не блокируется туалеткой.	leaky_parachute:1
19	trap	debuff	0	0	Рука для fisting	Ловушка с контрактом на душу и мемом «мы все в assventory кого-то».	Цель отдаёт вам каждый 5-й заработанный очко, до 5 раз. Сложные правила slave — в подсказке при применении.	trap_fisting:5
20	item	buff	0	0	Тотем мoshnya	Деревянная мошна, которая орёт «три очка, не ной» громче любого стримера на харде.	Следующая игра: 3 базовых очка плюс бонус за каждые 10 ч HLTB.	totem_moshnya:1
22	none	buff	1	0	Интрига	Колесо дрогнуло, чат написал «F5», вселенная сделала вид, что не заметила.	Перекрутите колесо приколов на этой клетке.	wheel_reroll:0
24	item	buff	0	0	По магазинам с чатом	Реролл + голосование: демократия, пока все не начнут кричать « RIGGED ».	После кубика, перед колесом приколов: rerolл; чат голосует. Предметы выдаёт админ.	shop_chat:1
25	item	buff	0	0	По магазинам с Лепреконом	Лепрекон достаёт пять секторов, ты выбираешь два — capitalism, но с зелёным шляпником.	После кубика, перед колесом: rerolл; выберите 2 из 5. Предметы выдаёт админ.	shop_leprechaun:1
26	none	debuff	1	0	Однорукий бандит	Бандит забирает инвентарь и говорит: «спасибо за донат, крути дальше, клоун».	Сброс всего инвентаря; за каждый предмет — дополнительное колесо приколов.	bandit:0
27	none	debuff	1	0	Грязнулькин	Слизняк, подписанный на все ваши баффы и на вашу боль.	Съедает один случайный бафф из вашего инвентаря.	dirtykin:0
28	none	buff	1	0	Рокировочка	Шахматы, но на стероидах: поменялись местами — и чужая игра осталась чужой, как и должно быть.	Обмен позициями с выбранным игроком; он бросает кубик, его игра не меняется.	castling:0
29	none	buff	1	0	Лепреконий схрон	Горсть монет и ощущение, что RNG наконец перестал быть токсиком. Ненадолго.	+2 дополнительных прокрута колеса приколов.	wheel_extra:2
30	none	buff	1	0	Заначка Старыги	Старыга копила крутышки с 2019-го — welcome to backlog hell, но весело.	+3 дополнительных прокрута колеса приколов.	wheel_extra:3
33	none	debuff	1	0	Mine now TriHard	Обмен инвентарями: «это не кража, это co-op в одностороннем режиме».	Обмен инвентарями со случайным другим игроком.	swap_inv_random:0
34	none	buff	1	0	Помощь отстающему	Колесо посмотрело таблицу и решило: кому-то пора страдать, кому-то — тащить.	Модификатор следующего броска по месту в таблице: −2 / +2 / +2 и +1 очко лидеру.	help_laggard:0
36	none	debuff	1	0	Торопыга	Кто-то шепчет «быстрее, у нас live service и дедлайны».	На следующей клетке за прохождение — только 1 базовое очко.	hurry:1
37	none	buff	1	0	Бог любит троицу	Три кубика — как три вкладки с гайдами: выбираешь две и делаешь вид, что так и планировал.	На следующем ходе бросаются 3 кубика, выберите 2. Кубик хуюбика на этом броске не действует.	trinity_dice:1
40	item	buff	0	0	Чат здесь закон	Ты выбираешь жанр, чат выбирает игру — анархия с модерацией и криками «БРО НЕТ».	После кубика, перед колесом: категория → ролл игры. Игра назначается админом.	chat_law:1
41	item	buff	0	0	Я здесь закон	Ты и жанр, и вердикт. Main character energy, zero accountability.	После кубика: категория → ролл игры. Игра назначается админом.	i_am_law:1
42	trap	debuff	0	0	Мистер Ржавчик	Ржавчина, которая съедает баффы быстрее, чем live service съедает ваш weekend.	Ловушка: уничтожает один случайный бафф в инвентаре цели.	trap_rust:1
43	trap	debuff	0	0	Всепоглощающий свин	Свинья не разбирает loot — просто жрёт, как gacha с pity на нуле.	Ловушка: съедает один случайный предмет в инвентаре цели.	trap_pig:1
44	trap	debuff	0	0	Грабли	Классика жанра «я сам наступил, но это лаг».	Ловушка: −1 к следующему броску цели (минимум 2 клетки).	trap_rake:1
46	trap	debuff	0	0	Крыса	Крыса грызёт удачу. Ты теряешь бросок, цель — три. Win-win, если ты sadist.	Ловушка: цель −3 к броску, вы −1 к броску.	trap_rat:1
47	none	debuff	1	0	УВЫ	Вздох «ну бывает» — и HLTB бонус ушёл в отпуск без содержания.	Следующая игра — только базовые очки, без бонуса за HLTB.	base_only_next:1
48	none	buff	1	0	Часовой рост	Время течёт, очки капают — как backlog, только ты хотя бы получаешь pay.	На следующей клетке: 2 очка за каждые полные 10 ч HLTB вместо обычной формулы.	hour_growth:1
